StockSymbol,LotSize
RELIANCE,250
SBIN,1500
INDUSINDBK,500
HDFCBANK,550
AXISBANK,625
TCS,175
WIPRO,1500
ITC,1600
ICICIBANK,700
TATASTEEL,5500
HINDALCO,1400
KOTAKBANK,400
TATAMOTORS,1425
TITAN,375
HDFCLIFE,1100
CIPLA,650
ONGC,3850
BRITANNIA,200
JSWSTEEL,1350
HINDUNILVR,300
AMBUJACEM,1800
APOLLOHOSP,125
PFC,6200
BANDHANBNK,2500
ICICIGI,500
ACC,300
ADANIENT,300
ASIANPAINT,200
AUBANK,1000
CANBK,2700
COALINDIA,4200
GAIL,9150
HDFCAMC,300
HINDALCO,1400
BPCL,1800
ICICIPRULI,1500
IGL,1375
IRCTC,875
JINDALSTEL,1250
LT,300
FEDERALBNK,5000
MRF,10
NMDC,4500
NESTLEIND,40
TATACONSUM,900
TECHM,600
ULTRACEMCO,100
INFY,400
BANKBARODA,5850
CROMPTON,1800
HAL,300
HCLTECH,700
IDFCFIRSTB,15000
MARUTI,100
PNB,16000
RBLBANK,5000
TATACHEM,550
POWERGRID,2700
SAIL,8000
SBICARD,800
SBILIFE,750
TATASTEEL,5500
UPL,1300
NTPC,3000
VOLTAS,600
VEDL,2000
ADANIPORTS,800
